site,fpz,detail,description,id,species,d15N,d13C,per_N,per_C,C_N,pp_sig
SCR,1,SCR1,Wild River,1002,Quadrula sp.,5.75,-29.09,9.96,33.1,3.3,2.35
SCR,1,SCR1,Wild River,1003,Anadonta sp.,5.75,-29.43,8.99,31.1,3.5,2.35
SCR,1,SCR1,Wild River,1004,Anadonta sp.,5.32,-29.6,9.35,31.4,3.4,1.92
SCR,1,SCR1,Wild River,1005,Anadonta sp.,5.47,-29.65,10.68,34.1,3.2,2.07
SCR,1,SCR1,Wild River,1006,Anadonta sp.,5.55,-29.04,5.82,20,3.4,2.15
SCR,1,SCR1,Wild River,1007,Lampsilis sp.,7.05,-30.18,2.66,10.2,3.8,3.65
SCR,1,SCR1,Wild River,1008,Lampsilis sp.,6.73,-30.39,3.4,13.2,3.9,3.33
SCR,2,SCR2,Markland Ctr & Norway Point Landing,1009,Potamilus sp.,4.06,-30.84,3.54,15.4,4.3,0.66
SCR,2,SCR2,Markland Ctr & Norway Point Landing,1010,Potamilus sp.,4.1,-30.56,4.86,17.4,3.6,0.7
SCR,2,SCR2,Markland Ctr & Norway Point Landing,1011,Potamilus sp.,4.36,-30.89,5.83,20.9,3.6,0.96
SCR,2,SCR2,Markland Ctr & Norway Point Landing,1012,Potamilus sp.,4.04,-30.81,5.01,18.9,3.8,0.64
SCR,2,SCR2,Markland Ctr & Norway Point Landing,1013,Lampsilis sp.,4.75,-30.92,5.62,22.2,4,1.35
SCR,2,SCR2,Markland Ctr & Norway Point Landing,1079,Lasmigona sp.,4.44,-30.74,10.27,33.6,3.3,1.04
SCR,2,SCR2,Markland Ctr & Norway Point Landing,1080,Fusconia sp.,4.35,-30.15,9.21,32.7,3.6,0.95
SCR,2,SCR2,Markland Ctr & Norway Point Landing,1081,Lampsilis sp.,4.25,-30.44,7.34,23.9,3.3,0.85
PEP,1,PEP1,"Lake Pepin below Lake City, MN",147,Amblema plicata,13.72,-29.45,3.88,14.2,3.7,10.32
PEP,1,PEP1,"Lake Pepin below Lake City, MN",148,Amblema plicata,13.32,-29.05,2.06,8.4,4.1,9.92
PEP,1,PEP1,"Lake Pepin below Lake City, MN",149,Amblema plicata,13.67,-29.53,3.56,13.9,3.9,10.27
PEP,1,PEP1,"Lake Pepin below Lake City, MN",150,Amblema plicata,14.26,-28.68,3.95,14.3,3.6,10.86
PEP,1,PEP1,"Lake Pepin below Lake City, MN",151,Amblema plicata,13.4,-29.02,3.9,13.9,3.6,10
WIN,1,WIN1,Winona,297,Lampsilis peristracum,10.69,-29.01,6.49,31.9,4.9,7.29
WIN,1,WIN1,Winona,298,Lampsilis peristracum,10.8,-28.32,3.62,14.2,3.9,7.4
WIN,1,WIN1,Winona,299,Amblema perisotracum,10.57,-28.41,5.3,20.2,3.8,7.17
MMR,1,MMR1,"near Louisiana, MO",729,Dreissena polymorpha,11.1,-29.34,11.32,48.8,4.3,7.7
MMR,1,MMR1,"near Louisiana, MO",730,Dreissena polymorpha,10.93,-29.15,11.21,48.04,4.3,7.53
MMR,1,MMR1,"near Louisiana, MO",731,Dreissena polymorpha,11.07,-29.11,11.4,47.36,4.2,7.67
MMR,1,MMR1,"near Louisiana, MO",732,Dreissena polymorpha,10.8,-29.04,10.9,45.1,4.2,7.4
MMR,1,MMR1,"near Louisiana, MO",733,Dreissena polymorpha,10.73,-29.23,11,46.1,4.2,7.33
MMR,1,MMR1,near Dupont,719,Dreissena polymorpha,11.25,-29.25,10.8,45.4,4.2,7.85
MMR,1,MMR1,near Dupont,720,Dreissena polymorpha,11.15,-29.28,11.3,45.3,4,7.75
MMR,1,MMR1,near Dupont,721,Dreissena polymorpha,10.99,-28.98,11.5,44.7,3.9,7.59
MMR,1,MMR1,near Dupont,722,Dreissena polymorpha,11,-29.54,11,46.9,4.3,7.6
MMR,1,MMR1,near Dupont,723,Dreissena polymorpha,11.29,-29.1,10.8,43.5,4,7.89
MMR,2,MMR2,"secondary channel (near Louiana, MO)",734,Dreissena polymorpha,11.13,-29.21,10.6,45.2,4.3,7.73
MMR,2,MMR2,"secondary channel (near Louiana, MO)",735,Dreissena polymorpha,10.91,-29.58,10.7,47.3,4.4,7.51
MMR,2,MMR2,"secondary channel (near Louiana, MO)",736,Dreissena polymorpha,10.84,-29,9.8,42.5,4.3,7.44
MMR,2,MMR2,"secondary channel (near Louiana, MO)",737,Dreissena polymorpha,11.1,-29.29,11.4,47.3,4.1,7.7
MMR,2,MMR2,"secondary channel (near Louiana, MO)",738,Dreissena polymorpha,10.83,-29.45,11,46.1,4.2,7.43
MMR,2,MMR2,secondary channel (Gilbert Chute upstream of Dupont),724,Dreissena polymorpha,10.69,-28.92,11.2,46.3,4.1,7.29
MMR,2,MMR2,secondary channel (Gilbert Chute upstream of Dupont),725,Dreissena polymorpha,10.74,-28.9,11.3,46.7,4.1,7.34
MMR,2,MMR2,secondary channel (Gilbert Chute upstream of Dupont),726,Dreissena polymorpha,10.63,-29.01,11.3,46.6,4.1,7.23
MMR,2,MMR2,secondary channel (Gilbert Chute upstream of Dupont),727,Dreissena polymorpha,10.61,-29.32,11.2,46.6,4.2,7.21
MMR,2,MMR2,secondary channel (Gilbert Chute upstream of Dupont),728,Dreissena polymorpha,11.24,-29.1,10.76,45.97,4.3,7.84
